Episode,adapt_DQN,Random,RRobin
1,-8860.023071437929,-9215.82965765224,-8698.426586182475
2,-7918.596111081887,-9200.890028193344,-9217.809501935513
3,-9408.268285182596,-8580.000119744456,-8023.474440125285
